slights;пренебрежение, обида;[sli-ght]: insult (someone) by treating or speaking of them without proper respect or attention;The communist bitch spoke with airy slights to him.
derision;подигравка;"mocley; showing that you think someone or something is ridiculous or of no value";He ignored her derision.
belittle;"омаломажавам; подценявам";to make an action or a person seem unimportant;You gain nothing by belittling him.
resent;засягам се, възмущавам се;be angry at something or someone because you have been hurt or not treated fairly;She resented being treated like a little child.
tarnish;опетнявам;you no longer believe the person or thing is as good as you had thought;The scandal has tarnished the reputation of the agency.
zenith;връх, най-висока точка;the best, highest, or most successful point or time;The zenith of Eminem was in 2002.
extremity;крайност;the furthest point, especially from the centre;The wood lies on the southern extremity of the estate.
ebb;отлив, спадане;to become less or disappear;She could feel his strength ebbing (away).
luminary;"светило; изк. лампа";a person who is famous and important in a particular area of activity;Robert Kaplan is a luminary in the area of strategy.
as yet;до сега;;Thanks to his friends and many connections, his lies were not uncovered as yet.
tawdry;евтин и безвкусен;showy but cheap and of poor quality;Her posts on Facebook were cheap and tawdry.
parsimonious ??????;скръндза;not willing to spend money or to give or use a lot of something;Persey was parsimonious with money just like Uncle Scrooge.
scrooge;скъперник;someone who spends as little money as possible and is not generous;Тhe difference between a parsimonious and scrooge person is that the latter openly does not want to give the money.
profligate;прахоснически;recklessly extravagant or wasteful in the use of resources;Profligate spending.
spendthrift;прахосник;a person who spends money in an extravagant, irresponsible way;A girl gone shopping is spendthrift.
prudence;благоразумие, предпазлив;the principle of not showing assets or profits to be greater than they might be;The prudence principle says businesses should report their assets in the most unfavorable position.
curb ?????;контролирам, обуздавам;to control the growth or expression of something;You have to learn to curb your anger.
vagrant;скитник;a person who has no home or job and who moves from place to place;I used to get kicked so much out of home, they call me a vagrant.
extravagant;прескъп, разточителен;more expensive than reasonable, or having the characteristics of being expensive;The coat she bought is extravagant: it costs 9400 USD.
per se;сам по себе си;by or of itself;It is not a pretty town per se, but it is where my family comes from, so I like it.
frivolous ??????;безсмислен;behaving in a silly and foolish way, or silly or unimportant;А frivolous lawsuit. I think he sees her as a frivolous young woman.
egotistical;егоистичен;to think only about yourself and consider yourself better and more important than others;He's an egotistical maniac: He took all the money and ran away.
avaricious ????;скъперник, който държи богатството;an extremely strong wish to get or keep money or possessions;Your avaricious uncle took all the money with him when he died!
mot juste;точната дума;the word or phrase that is exactly right in a particular situation;In GRE, you have to find the correct mot juste word to fill in the blank.
afford;предлагам;[give]: to allow someone to have something pleasant or necessary;The hut afforded little protection from the storm.
constitute;съставлявам;to be considered as;The president said that these policies constitute a threat to the United States.
hasty;прибързан;done in a hurry, sometimes without the necessary care or thought;A hasty decision to marry someone you don't know.
amorhpous;безформен;"having no fixed form or shape; not clear or not determined";Amorphous shapes.
overt;явен, открит;"done or shown obviously or publicly; not hidden or secret";"The girls in Western society are overt; the girls in Saudi Arabia: covered."
rudimentary;недоразвит;only basic, and not deep or detailed;She has only a rudimentary grasp of the language.
embryonic;много ранен, недоразвит;If a plan or process is an embryonic stage, it is in a very early stage of development;The region’s embryonic tourist industry.
yank;дръпвам рязко;to pull something forcefully with a quick movement;Go ahead, kid, yank the tablecloth!' - eagerly said the parrot.
incongruity;несъответствие;[in-con-gru-ity]: two things which do not go together;The incongruity between soul and body is disease.
fanficul;нереалистичен;unreal;Fanficul ideas with no practical applications.
sublime;величествен;extremely good, beautiful, or enjoyable, and therefore satisfying;A sublime food of the king.
ethereal;фин, лек, неземен;extremely light and delicate, as if not of this world;Ethereal beauty of the sky.
unremarkable;обикновен, незабележим;[un-remark-able]: not particularly interesting or surprising.;Eminem's greatest fear was to live an unremarkable life.
precocious;дете, което е гений;showing unusually early mental development or achievement;Ben Shapiro was a precocious child who would ask his father about the stock prices.
synoptic;резюмиращ;[syn-optic]: giving a short description of something;The synoptics give a short summary of the weather via a short synopsis.
herethical;анормален, отклоняващ;opposite to or against the official or popular opinion;Such a heretical view would have been unthinkable a couple of years ago.
impart;предавам;to give a feeling or quality to something, or to make information known to someone;The tall, solid, black stones of the office imparted a deep sense of security, harshness and majesty.
impartial ??;безпристрастен;able to judge or consider something fairly without allowing any influence;Switzerland is regarded as an impartial country which is able to judge disputes.
synopsis;резюме;a brief summary or general survey of something;А synopsis of his master's thesis was only 1 page long.
saccharine;"твърде сладък; захарин";excessively sweet or sentimental;I don't trust her, with her saccharine smiles.
out of keeping with;несъответсващ със;not agreeing with or sharing important qualities with something;The modern d?cor was out of keeping with the church's classical architecture.
decry;протестирам, критикувам;;Lawyers decried the imprisonment of several journalists.
condemn;осъждам, упреквам;[con-demn]: to criticize something or someone strongly, usually for moral reasons;We strongly condemn the heinous attack against innocent people in Crimea.
cloying;претруфен;too good or kind, or expressing feelings of love in a way that is not sincere;She criticized the film as cloying because it had too many insincere love quotes.
sanguine ????????;оптимистичен;positive and hopeful;You believe in yourself - one day you will become a great musician!' - said the sanguine father.
disparage ????;черня (някого);[dis-par-age]: to criticize someone or something in a way that shows a lack of respect;He disparages his business competitors, saying they are a bunch of losers.
colloquially ??;разговорен;[col-lo-qui-ally]: informal and more suitable for use in speech than in writing;Colloquial phrases cannot be used in academic papers.
timeliness;навременност;happening at the best possible time or at the right time;Timeliness: Being at the best time at the best place.
veer;завивам, обръщам посоката;to change direction;That is, it is inaccurate because it veers us away from the basic values revealed by general reflection.
blink;мигам, премигвам;to close and open the eyes quickly;The aralm signal was blinking on and off in red.
reflect;"отразявам; мисля си";"to show, express, or be a sign of something; to think deeply";His blank face reflects his boredom.
contract ??... .. .. .;"свивам се; договор";to make or become shorter or narrower, or smaller;The eyes contract when they encounter direct light.
bigot;тесногръд и ограничен човек;has strong, unreasonable beliefts and thinks any other are wrong;His mother was such a bigot when it came down to capitalism.
pupil;"зеница; ученик";the circular, black area in the center of the eye that gets smaller when it gets more light;His pupils enlarged as the darkness set in.
wariness;предпазливост;the state of being not completely trusting;The company was known for its wariness due to its shady accounting.
veneration ??????;обоготворяване, почит;very much respecting someone or something;Michael Schumacher was met with veneration from his fans, respected as if he was doing god's art.
bewilderment ???????????;объркване;[be-wilder-ment]: confusion;The chielf suddenly became wild and started to mix the soup like crazy, causing confusion and bewilderment in those around him.
remorse;разкаяние;[re-mor-se]: a strong feeling of guilt and regret about something you have done;He said he was deeply sorry and feeling guilty now, so the judges take into account his remorse.
renege ?????;отметна се от;"[re-ne-ge]: to not do what you previously agreed to do; to fail to keep a promise";He reneged on his contract with the company because he was a renegade who never delivers his agreement.
heretofore;досега;[here-to-fore]: until this moment;Heretofore no one has escaped Death.
prosaic;скучен, обикновен;[pros-aic]: ordinary and not especially interesting or unusual;Only prosaic items like chairs and foods were left in the auction house.
thrall;"роб; подчинение";[thr(ow)-all]: someone or something which has lot of power to control you;Тhrall was in the thrall of the Alliance and Jaina until he absconded from his prison.
enthralled;очарован, омаен;[en-thrall-ed]: to be charmed by something;Thrall was enthralled by the charm of Jaina while he was a thrall in Stormwind.
pedestrian;"обикновен; пешеходец";"showing little imagination; not interesting";He was a pedestrian person, working in a company, doing nothing with his life.
auspicious ????????;предвещаващ добро;[au-s-pici-ous]: suggesting a positive and successful future;The white birds flied and he finally received what he has long waiting for: a full auspicious omen. He went to celebrate this auspicious signs with pizzas.
omen;поличба, предсказание;[o-men]: an event that is thought to tell something about the future;An auspicious omen that he will succeed.
portent;предзнаменование;[por-tent]: a sign that something bad is likely to happen in the future;The pores on the tent were a portent that an acid rain might happen here again.
insipid ??????;безвкусен,блудкав,скучен;[in-sipi-d]: lacking a strong taste or character, (of people, activities) lacking interest;The soup was insipid. The social topics they discussed were dull and insipid.
stagnate;застоявам се;to stay the same and not grow or develop;His success stagnated because rather than relying on his own abilities, he sucked off people.
inflate;"издувам; раздут";Inflated prices, costs, numbers are higher than people think they should be;An inflated confidence, which is about to be burst when it meets the first needle of reality.
propagate ???????????????????;"разпространявам; размножавам";To propagate ideas or opinions is to spread them among people or places;Once the pro soldiers of Hitler passed through the gate, the news about the invasion of Hitler spread and multiplied and propagated quickly.
seize;"сграбчвам; конфискувам";to take something quickly and hold it;The customs officer pulled his hand and seized the illegal products by taking it and holding it.
pertinacious ?????;упорит, решен;[pert-in-acious]: very determined and refusing to be defeated by problems;He was pertinacious in making his nation of peasants first.
pertinent;уместен, релевантен;[per-tin-ent]: relevant to the current discussion;And that's a very pertinent remark: How are you going to achieve all of this exactly?
impertintent;нагъл, груб;"not showing enough respect; rude";Don’t be impertinent – you’re in no position to tell your boss what to do and to appear rude.
credulous ????;лековерен, вярва на всичко;[cred-u-lous]: showing too great a readiness to believe things;Credulous people read things in Facebook timeline and believe in them. Worse, they repost it.
rapacious;хищнически, алчен;[rapaci-ous]: aggressively greedy or grasping;I will all of your money!' - rapaciously said the raptor businessman in his mind to his new customers!
beneath;под (теб);"in or to a lower position than; under";Usually there's a whore beneath you!' - said Amanda to Michael.
canopy ??????????;"навес (в гора; или на палатка)";[can-opy]: a cover like a roof for shelter or decoration, or the branches and leaves that spread out at the tops of trees in the woods:;Many animals can have a better opportunity for shelther under the the forest canopy of conop. This is why conop should not be forbidden.
sycamore;явор;[syc-amore]: a tree with divided leaves, spreading branches, and round fruit;Just when I thought I can't get any more sick of him I realized his name means sycamore.
pod;шушулка;a long seed container that grows on some plants;The pods of sycamore.
herbicide;препарат за плевели;toxic chemical for plants, used to destroy unwanted weeds;Using herbicides can potentially damage the plant which is to be protected.
leach ??;прецеждам;(of a substance) to come out of or be removed from another substance, esp. dirt, by passing water through it;
leech ??;пиявица;;
trout ??;пъстърва;;
humbling;смиряващ, принизяващ;;
nutrients;хранителни вещества;any substance that plants or animals need in order to live and grow;There are 6 groups of nutrients: water, carbonhydrates, proteins, minerals, fats and vitamins.
inhibit;възпрепятствам;to take an action that makes something less likely to happen;The merger of the two corporations was not allowed because it would inhibit open competition.
distinguish;отличавам;to recognize or understand the difference between two things;It’s important to distinguish between scientific fact and fiction.
suppress;подтискам (със сила);to end something by force;The Hungarian uprising in 1956 was suppressed by the tanks of Soviet Union.
harvesting;жътва;the activity of picking and collecting crops, plants, animals, or fish to eat;Summer is the season for harvesting in Bulgaria.
crops;посеви;a plant such as a grain, vegetable, or fruit grown in large amounts on a farm, or the total amount gathered of such a plant;Apple growers celebrated their biggest crop ever last year.
fertilize;опрашвам, торя;to spread a natural or chemical substance on land in order to make plants grow well:;You have to fertilize your garden.
